drawNumber drawDate numbers bonus extra
1 "Jan 29, 1992" "3,4,18,41,42,45" 35 "7,18,77,78"
2 "Feb 01, 1992" "4,9,15,22,34,35" 32 "6,40,53,93"
3 "Feb 05, 1992" "7,8,31,38,46,49" 39 "7,57,87,91"
4 "Feb 08, 1992" "5,8,9,34,36,44" 4 "25,39,45,92"
5 "Feb 12, 1992" "3,5,13,23,30,41" 45 "9,22,87,89"
6 "Feb 15, 1992" "5,20,22,32,45,47" 19 "45,59,89,94"
7 "Feb 19, 1992" "1,4,8,33,37,38" 24 "17,20,62,96"
8 "Feb 22, 1992" "8,10,11,20,34,46" 1 "14,30,64,79"
9 "Feb 26, 1992" "13,24,26,27,28,49" 14 "6,41,54,66"
10 "Feb 29, 1992" "9,14,19,27,41,42" 1 "9,26,40,94"
11 "Mar 04, 1992" "10,29,33,40,44,49" 27 "12,37,63,80"
12 "Mar 07, 1992" "10,12,24,37,40,42" 8 "12,20,44,77"
13 "Mar 11, 1992" "19,21,32,34,44,46" 24 "20,26,57,76"
14 "Mar 14, 1992" "3,5,6,8,15,38" 39 "5,14,81,86"
15 "Mar 18, 1992" "6,15,24,36,38,43" 23 "37,53,91,93"
16 "Mar 21, 1992" "8,16,17,33,35,38" 20 "31,52,57,95"
17 "Mar 25, 1992" "10,15,25,27,28,34" 26 "4,7,32,46"
18 "Mar 28, 1992" "18,23,31,32,33,38" 40 "2,42,49,71"
19 "Apr 01, 1992" "1,16,28,31,33,34" 42 "19,23,26,28"
20 "Apr 04, 1992" "9,15,23,33,34,36" 4 "17,49,54,57"
21 "Apr 08, 1992" "4,10,19,32,36,40" 5 "8,63,65,73"
22 "Apr 11, 1992" "4,8,26,44,45,46" 11 "1,25,41,84"
23 "Apr 15, 1992" "7,13,20,21,22,47" 6 "1,25,57,92"
24 "Apr 18, 1992" "5,16,28,31,41,43" 10 "37,45,61,62"
25 "Apr 22, 1992" "2,12,30,31,39,43" 25 "6,45,87,94"
26 "Apr 25, 1992" "6,7,19,27,44,46" 15 "50,51,52,69"
27 "Apr 29, 1992" "3,6,15,19,34,41" 14 "11,46,67,87"
28 "May 02, 1992" "11,33,35,36,40,49" 27 "74,81,86,99"
29 "May 06, 1992" "7,17,18,19,24,42" 45 "11,33,46,68"
30 "May 09, 1992" "4,5,11,15,31,33" 40 "16,28,65,92"
31 "May 13, 1992" "3,8,20,24,38,47" 44 "23,24,73,85"
32 "May 16, 1992" "13,14,20,41,43,44" 38 "35,65,86,89"
33 "May 20, 1992" "3,34,38,41,44,46" 28 "8,77,88,93"
34 "May 23, 1992" "1,16,18,31,32,33" 23 "42,44,82,93"
35 "May 27, 1992" "9,23,29,38,46,48" 19 "19,74,93,94"
36 "May 30, 1992" "25,30,31,36,42,44" 11 "5,19,62,83"
37 "Jun 03, 1992" "20,32,37,40,42,49" 24 "28,39,91,96"
38 "Jun 06, 1992" "6,28,32,34,41,42" 49 "23,44,46,66"
39 "Jun 10, 1992" "9,14,19,20,24,28" 36 "15,24,49,50"
40 "Jun 13, 1992" "5,6,8,27,28,33" 38 "13,19,52,86"
41 "Jun 17, 1992" "4,12,21,32,37,48" 33 "7,61,90,94"
42 "Jun 20, 1992" "7,22,27,33,37,47" 14 "45,58,77,79"
43 "Jun 24, 1992" "5,6,8,12,23,44" 24 "51,55,67,80"
44 "Jun 27, 1992" "8,9,16,21,41,44" 26 "58,66,80,97"
45 "Jul 01, 1992" "16,20,23,29,30,33" 3 "7,28,65,76"
46 "Jul 04, 1992" "15,20,23,34,41,49" 4 "26,39,42,78"
47 "Jul 08, 1992" "7,11,26,29,33,36" 40 "42,66,76,93"
48 "Jul 11, 1992" "2,13,33,35,40,44" 8 "6,50,63,83"
49 "Jul 15, 1992" "15,23,33,37,41,49" 16 "20,35,58,90"
50 "Jul 18, 1992" "5,8,12,30,34,35" 3 "69,75,95,98"
51 "Jul 22, 1992" "4,13,18,34,35,42" 43 "5,17,31,79"
52 "Jul 25, 1992" "6,7,8,16,19,38" 37 "1,60,90,97"
53 "Jul 29, 1992" "5,17,20,21,35,43" 47 "1,4,5,93"
54 "Aug 01, 1992" "9,17,24,25,29,36" 39 "2,51,77,89"
55 "Aug 05, 1992" "1,3,12,23,37,47" 13 "18,54,69,96"
56 "Aug 08, 1992" "1,2,13,23,45,48" 47 "78,80,85,94"
57 "Aug 12, 1992" "10,17,20,31,33,38" 18 "25,28,32,94"
58 "Aug 15, 1992" "3,4,9,21,43,47" 46 "25,45,76,90"
59 "Aug 19, 1992" "10,18,27,35,41,45" 16 "26,28,31,81"
60 "Aug 22, 1992" "3,8,10,13,16,34" 17 "18,72,74,92"
61 "Aug 26, 1992" "1,2,15,26,30,34" 19 "20,35,67,80"
62 "Aug 29, 1992" "6,16,24,26,35,46" 2 "8,29,54,83"
63 "Sep 02, 1992" "32,37,39,40,42,44" 26 "15,43,49,70"
64 "Sep 05, 1992" "11,18,22,34,36,40" 37 "15,29,42,73"
65 "Sep 09, 1992" "6,9,18,19,27,36" 31 "25,46,76,85"
66 "Sep 12, 1992" "4,25,33,38,48,49" 41 "66,75,90,94"
67 "Sep 16, 1992" "17,20,28,39,40,42" 6 "12,39,77,97"
68 "Sep 19, 1992" "2,9,15,18,22,35" 44 "37,39,70,86"
69 "Sep 23, 1992" "12,21,25,27,32,37" 2 "75,80,84,94"
70 "Sep 26, 1992" "8,14,15,19,20,34" 18 "29,47,58,66"
71 "Sep 30, 1992" "5,11,13,20,31,35" 24 "27,43,51,77"
72 "Oct 03, 1992" "2,8,11,18,28,29" 6 "25,33,47,68"
73 "Oct 07, 1992" "4,20,29,34,40,43" 37 "12,17,19,94"
74 "Oct 10, 1992" "6,9,24,31,40,49" 10 "21,32,66,91"
75 "Oct 14, 1992" "2,13,18,28,37,47" 8 "25,67,83,97"
76 "Oct 17, 1992" "12,16,19,25,34,48" 27 "8,13,37,90"
77 "Oct 21, 1992" "1,13,24,30,33,49" 41 "13,37,44,68"
78 "Oct 24, 1992" "4,7,10,31,41,43" 47 "26,46,79,84"
79 "Oct 28, 1992" "13,21,29,35,39,42" 12 "6,42,55,86"
80 "Oct 31, 1992" "1,15,22,25,37,44" 12 "18,32,83,92"
81 "Nov 04, 1992" "4,13,14,25,40,48" 12 "52,59,87,88"
82 "Nov 07, 1992" "27,33,34,39,41,43" 18 "9,54,57,74"
83 "Nov 11, 1992" "7,11,34,35,39,48" 3 "6,65,76,95"
84 "Nov 14, 1992" "3,7,8,18,23,32" 20 "22,31,40,67"
85 "Nov 18, 1992" "7,10,11,12,20,23" 13 "14,17,44,76"
86 "Nov 21, 1992" "14,18,27,32,35,41" 2 "26,37,62,99"
87 "Nov 25, 1992" "3,6,9,14,23,24" 35 "73,81,84,95"
88 "Nov 28, 1992" "17,24,25,31,40,48" 46 "16,20,69,96"
89 "Dec 02, 1992" "5,12,22,25,46,48" 47 "6,66,82,84"
90 "Dec 05, 1992" "4,26,30,36,37,47" 13 "20,23,41,47"
91 "Dec 09, 1992" "9,11,23,29,36,42" 46 "55,56,82,94"
92 "Dec 12, 1992" "1,3,4,22,23,44" 43 "5,17,22,80"
93 "Dec 16, 1992" "15,28,33,36,40,45" 3 "45,60,63,75"
94 "Dec 19, 1992" "5,21,22,25,27,34" 35 "14,21,29,84"
